file,group,NavigationLink,Form,List,ScrollView,Button,Toggle,Picker,Slider,TextField,ForEach,GeometryReader,ZStack,VStack,HStack,@EnvironmentObject,@ObservedObject,sheet(,fullScreenCover,alert(
Settings/Scenes/Widgets/Widget/Alerts/WidgetAlertsChatBotSettingsView.swift,Settings,1,2,1,0,3,1,0,0,0,1,0,0,1,0,2,2,0,0,0
Settings/Scenes/Widgets/Widget/Alerts/WidgetAlertsImageSettingsView.swift,Settings,2,3,1,0,3,0,6,1,0,2,0,0,0,2,3,0,1,0,0
Settings/Scenes/Widgets/Widget/Alerts/WidgetAlertsKickSettingsView.swift,Settings,6,8,1,0,7,5,1,0,0,2,0,0,1,1,6,5,0,0,0
Settings/Scenes/Widgets/Widget/Alerts/WidgetAlertsSettingsView.swift,Settings,9,2,0,0,1,2,21,1,0,2,1,1,0,2,5,6,1,0,0
Settings/Scenes/Widgets/Widget/Alerts/WidgetAlertsSoundSettingsView.swift,Settings,2,3,1,0,5,0,6,0,0,2,0,0,0,1,3,0,1,0,0
Settings/Scenes/Widgets/Widget/Alerts/WidgetAlertsSpeechToTextSettingsView.swift,Settings,1,2,1,0,3,1,0,0,0,1,0,0,1,0,2,2,0,0,0
Settings/Scenes/Widgets/Widget/Alerts/WidgetAlertsTextSettingsView.swift,Settings,0,0,0,0,0,0,4,1,0,2,0,0,0,1,2,0,0,0,0
Settings/Scenes/Widgets/Widget/Alerts/WidgetAlertsTwitchSettingsView.swift,Settings,7,9,1,0,6,5,1,0,0,3,0,0,1,1,8,4,0,0,0
Settings/Scenes/Widgets/Widget/BingoCard/WidgetBingoCardSettingsView.swift,Settings,0,0,0,0,5,0,2,0,2,3,0,0,1,2,0,3,0,0,0
Settings/Scenes/Widgets/Widget/Browser/WidgetBrowserSettingsView.swift,Settings,1,0,0,0,0,1,1,1,1,0,0,0,1,2,1,1,0,0,0
Settings/Scenes/Widgets/Widget/Chat/WidgetChatSettingsView.swift,Settings,0,0,0,0,0,6,5,2,0,1,0,0,0,2,0,2,0,0,0
Settings/Scenes/Widgets/Widget/Crop/WidgetCropSettingsView.swift,Settings,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
